====================('127.0.0.1', 10086)====================
('127.0.0.1', 10086)  服务器:成功发送数据14
('127.0.0.1', 10086)  服务器:收到有用ACK14
('127.0.0.1', 10086)  服务器:窗口滑动到15
('127.0.0.1', 10086)  服务器:成功发送数据15
('127.0.0.1', 10086)  服务器:收到有用ACK15
('127.0.0.1', 10086)  服务器:窗口滑动到16
('127.0.0.1', 10086)  服务器:成功发送数据16
('127.0.0.1', 10086)  服务器:收到有用ACK16
('127.0.0.1', 10086)  服务器:窗口滑动到17
('127.0.0.1', 10086)  服务器:成功发送数据17
('127.0.0.1', 10086)  服务器:成功发送数据18
('127.0.0.1', 10086)  服务器:收到有用ACK18
('127.0.0.1', 10086)  服务器:成功发送数据19
('127.0.0.1', 10086)  服务器:收到有用ACK19
('127.0.0.1', 10086)  服务器:成功发送数据20
('127.0.0.1', 10086)  服务器:收到有用ACK20
('127.0.0.1', 10086)  【窗口已满】服务器: 窗口已满，暂不发送数据。
('127.0.0.1', 10086)  【窗口已满】服务器: 窗口已满，暂不发送数据。
('127.0.0.1', 10086)  【窗口已满】服务器: 窗口已满，暂不发送数据。
('127.0.0.1', 10086)  【窗口已满】服务器: 窗口已满，暂不发送数据。
('127.0.0.1', 10086)  【超时】--开始重传
('127.0.0.1', 10086)  数据已重发:17
('127.0.0.1', 10086)  【窗口已满】服务器: 窗口已满，暂不发送数据。
('127.0.0.1', 10086)  客户端:收到数据12
('127.0.0.1', 10086)  客户端:窗口滑动到13
('127.0.0.1', 10086)  客户端:窗口滑动到14
('127.0.0.1', 10086)  客户端:窗口滑动到15
('127.0.0.1', 10086)  客户端:窗口滑动到16
('127.0.0.1', 10086)  客户端:发送ACK12
('127.0.0.1', 10086)  【窗口已满】服务器: 窗口已满，暂不发送数据。
('127.0.0.1', 10086)  客户端:收到数据16
('127.0.0.1', 10086)  客户端:窗口滑动到17
('127.0.0.1', 10086)  客户端:发送ACK16
('127.0.0.1', 10086)  【窗口已满】服务器: 窗口已满，暂不发送数据。
('127.0.0.1', 10086)  客户端:收到数据17
('127.0.0.1', 10086)  客户端:窗口滑动到18
('127.0.0.1', 10086)  客户端:发送ACK17
('127.0.0.1', 10086)  【窗口已满】服务器: 窗口已满，暂不发送数据。
('127.0.0.1', 10086)  客户端:收到数据18
('127.0.0.1', 10086)  客户端:窗口滑动到19
('127.0.0.1', 10086)  客户端:发送ACK18
('127.0.0.1', 10086)  【窗口已满】服务器: 窗口已满，暂不发送数据。
('127.0.0.1', 10086)  客户端:收到数据19
('127.0.0.1', 10086)  客户端:窗口滑动到20
('127.0.0.1', 10086)  客户端:发送ACK19
('127.0.0.1', 10086)  【窗口已满】服务器: 窗口已满，暂不发送数据。
('127.0.0.1', 10086)  客户端:收到数据20
('127.0.0.1', 10086)  客户端:窗口滑动到21
('127.0.0.1', 10086)  客户端:发送ACK20
('127.0.0.1', 10086)  【窗口已满】服务器: 窗口已满，暂不发送数据。
('127.0.0.1', 10086)  【窗口已满】服务器: 窗口已满，暂不发送数据。
('127.0.0.1', 10086) ===客户端: 所有数据报都已成功接收且均发送ACK, 传输数据结束===
('127.0.0.1', 10086)  【窗口已满】服务器: 窗口已满，暂不发送数据。
('127.0.0.1', 10086)  【窗口已满】服务器: 窗口已满，暂不发送数据。
('127.0.0.1', 10086)  【窗口已满】服务器: 窗口已满，暂不发送数据。
('127.0.0.1', 10086)  【窗口已满】服务器: 窗口已满，暂不发送数据。
('127.0.0.1', 10086)  【超时】--开始重传
('127.0.0.1', 10086)  数据已重发:17
('127.0.0.1', 10086)  【窗口已满】服务器: 窗口已满，暂不发送数据。
('127.0.0.1', 10086)  【窗口已满】服务器: 窗口已满，暂不发送数据。
('127.0.0.1', 10086)  【窗口已满】服务器: 窗口已满，暂不发送数据。
('127.0.0.1', 10086)  【窗口已满】服务器: 窗口已满，暂不发送数据。
('127.0.0.1', 10086)  【窗口已满】服务器: 窗口已满，暂不发送数据。
('127.0.0.1', 10086)  【超时】--开始重传
('127.0.0.1', 10086)  数据已重发:17
('127.0.0.1', 10086)  【窗口已满】服务器: 窗口已满，暂不发送数据。
('127.0.0.1', 10086)  服务器:收到有用ACK17
('127.0.0.1', 10086)  服务器:窗口滑动到18
('127.0.0.1', 10086)  服务器:窗口滑动到19
('127.0.0.1', 10086)  服务器:窗口滑动到20
('127.0.0.1', 10086)  服务器:窗口滑动到21
('127.0.0.1', 10086)  服务器:成功发送数据21
('127.0.0.1', 10086)  服务器:成功发送数据22
('127.0.0.1', 10086)  服务器:收到有用ACK22
('127.0.0.1', 10086)  服务器:成功发送数据23
('127.0.0.1', 10086)  服务器:收到有用ACK23
('127.0.0.1', 10086)  服务器: 发送完毕, 等待ACK确认
('127.0.0.1', 10086)  服务器: 发送完毕, 等待ACK确认
('127.0.0.1', 10086)  服务器: 发送完毕, 等待ACK确认
('127.0.0.1', 10086)  服务器: 发送完毕, 等待ACK确认
('127.0.0.1', 10086)  【超时】--开始重传
('127.0.0.1', 10086)  数据已重发:21
('127.0.0.1', 10086)  服务器: 发送完毕, 等待ACK确认
('127.0.0.1', 10086)  服务器: 发送完毕, 等待ACK确认
('127.0.0.1', 10086)  服务器: 发送完毕, 等待ACK确认
('127.0.0.1', 10086)  服务器: 发送完毕, 等待ACK确认
('127.0.0.1', 10086)  服务器: 发送完毕, 等待ACK确认
('127.0.0.1', 10086)  【超时】--开始重传
('127.0.0.1', 10086)  数据已重发:21
('127.0.0.1', 10086)  服务器: 发送完毕, 等待ACK确认
('127.0.0.1', 10086)  服务器:收到有用ACK21
('127.0.0.1', 10086)  服务器:窗口滑动到22
('127.0.0.1', 10086)  服务器:窗口滑动到23
('127.0.0.1', 10086)  服务器:窗口滑动到24
('127.0.0.1', 10086)  服务器: 发送完毕, 等待ACK确认
('127.0.0.1', 10086) ====服务器: 所有数据报均已发送结束且均收到ACK, 发送完毕====
